"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","Login","0","0","Login successful","0"
"0","","0","Workspace","1","0","Verify that a Workspace can't be created with an empty display name","0"
"0","","0","Board","1","0","Create a new Board with one character for the name","0"
"0","","0","","1","0","","0"
"0","","0","Board","1","0","Verify that a board can be created in a workspace","0"
"0","","0","Workspace","1","0","Verify that a workspace can be created","0"
"0","","0","List","1","0","Verify that a list can be created in a Board","0"
"0","","0","List","1","0","Verify that a list can be archived","0"
