"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Oct 26 02:14:10 GMT 2024","Sat Oct 26 02:14:14 GMT 2024","4887","","List","","Verify that a list can be created in a Board","","Verify that a list can be created in a Board",""
"passed","Sat Oct 26 02:14:09 GMT 2024","Sat Oct 26 02:14:09 GMT 2024","10","Gradle suite","Gradle test","com.ovidiomiranda.framework.core.utils.StringUtilsTest","com.ovidiomiranda.framework.core.utils.StringUtilsTest","deleteLastCharacterFromString","deleteLastCharacterFromString",""
"passed","Sat Oct 26 02:13:53 GMT 2024","Sat Oct 26 02:13:54 GMT 2024","104","","Workspace","","Verify that a Workspace can't be created with an empty display name","","Verify that a Workspace can't be created with an empty display name",""
"passed","Sat Oct 26 02:13:54 GMT 2024","Sat Oct 26 02:14:03 GMT 2024","9029","","Login","","Login successful","","Login successful",""
"failed","Sat Oct 26 02:14:17 GMT 2024","Sat Oct 26 02:14:18 GMT 2024","867","","Workspace","","Verify that a workspace can be created","","Verify that a workspace can be created",""
"passed","Sat Oct 26 02:13:45 GMT 2024","Sat Oct 26 02:13:47 GMT 2024","2267","","Board","","Create a new Board with one character for the name","","Create a new Board with one character for the name",""
"passed","Sat Oct 26 02:13:40 GMT 2024","Sat Oct 26 02:13:45 GMT 2024","4720","","Board","","Verify that a board can be created in a workspace","","Verify that a board can be created in a workspace",""
"failed","Sat Oct 26 02:14:14 GMT 2024","Sat Oct 26 02:14:17 GMT 2024","2960","","List","","Verify that a list can be archived","","Verify that a list can be archived",""
