"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","607","Verify that a workspace can be created","","Sat Dec 06 02:39:59 UTC 2025","passed","Sat Dec 06 02:39:59 UTC 2025","","Workspace","Verify that a workspace can be created",""
"","154","Verify that a Workspace can't be created with an empty display name","","Sat Dec 06 02:39:59 UTC 2025","passed","Sat Dec 06 02:40:00 UTC 2025","","Workspace","Verify that a Workspace can't be created with an empty display name",""
"","1988","Verify that a list can be archived","","Sat Dec 06 02:39:57 UTC 2025","passed","Sat Dec 06 02:39:59 UTC 2025","","List","Verify that a list can be archived",""
"","1827","Verify that a list can be created in a Board","","Sat Dec 06 02:39:55 UTC 2025","passed","Sat Dec 06 02:39:57 UTC 2025","","List","Verify that a list can be created in a Board",""
"","11","deleteLastCharacterFromString","Gradle suite","Sat Dec 06 02:40:42 UTC 2025","passed","Sat Dec 06 02:40:42 UTC 2025","com.ovidiomiranda.framework.core.utils.StringUtilsTest","Gradle test","com.ovidiomiranda.framework.core.utils.StringUtilsTest","deleteLastCharacterFromString"
"","1572","Create a new Board with one character for the name","","Sat Dec 06 02:39:53 UTC 2025","passed","Sat Dec 06 02:39:55 UTC 2025","","Board","Create a new Board with one character for the name",""
"","4294","Verify that a board can be created in a workspace","","Sat Dec 06 02:39:49 UTC 2025","passed","Sat Dec 06 02:39:53 UTC 2025","","Board","Verify that a board can be created in a workspace",""
"","32379","Login successful","","Sat Dec 06 02:40:42 UTC 2025","broken","Sat Dec 06 02:41:15 UTC 2025","","Login","Login successful",""
