"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","165","Verify that a Workspace can't be created with an empty display name","","Sat Nov 22 02:25:39 UTC 2025","passed","Sat Nov 22 02:25:39 UTC 2025","","Workspace","Verify that a Workspace can't be created with an empty display name",""
"","714","Verify that a workspace can be created","","Sat Nov 22 02:25:38 UTC 2025","passed","Sat Nov 22 02:25:39 UTC 2025","","Workspace","Verify that a workspace can be created",""
"","4589","Verify that a board can be created in a workspace","","Sat Nov 22 02:25:27 UTC 2025","passed","Sat Nov 22 02:25:31 UTC 2025","","Board","Verify that a board can be created in a workspace",""
"","2588","Verify that a list can be archived","","Sat Nov 22 02:25:35 UTC 2025","passed","Sat Nov 22 02:25:38 UTC 2025","","List","Verify that a list can be archived",""
"","1849","Create a new Board with one character for the name","","Sat Nov 22 02:25:31 UTC 2025","passed","Sat Nov 22 02:25:33 UTC 2025","","Board","Create a new Board with one character for the name",""
"","32065","Login successful","","Sat Nov 22 02:26:21 UTC 2025","broken","Sat Nov 22 02:26:53 UTC 2025","","Login","Login successful",""
"","9","deleteLastCharacterFromString","Gradle suite","Sat Nov 22 02:26:21 UTC 2025","passed","Sat Nov 22 02:26:21 UTC 2025","com.ovidiomiranda.framework.core.utils.StringUtilsTest","Gradle test","com.ovidiomiranda.framework.core.utils.StringUtilsTest","deleteLastCharacterFromString"
"","2137","Verify that a list can be created in a Board","","Sat Nov 22 02:25:33 UTC 2025","passed","Sat Nov 22 02:25:35 UTC 2025","","List","Verify that a list can be created in a Board",""
