"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 06 01:57:58 GMT 2024","Sat Jul 06 01:58:00 GMT 2024","2519","","Board","","Create a new Board with one character for the name","","Create a new Board with one character for the name",""
"passed","Sat Jul 06 01:57:52 GMT 2024","Sat Jul 06 01:57:52 GMT 2024","13","Gradle suite","Gradle test","com.ovidiomiranda.framework.core.utils.StringUtilsTest","com.ovidiomiranda.framework.core.utils.StringUtilsTest","deleteLastCharacterFromString","deleteLastCharacterFromString",""
"passed","Sat Jul 06 01:58:07 GMT 2024","Sat Jul 06 01:58:07 GMT 2024","152","","Workspace","","Verify that a Workspace can't be created with an empty display name","","Verify that a Workspace can't be created with an empty display name",""
"passed","Sat Jul 06 01:58:07 GMT 2024","Sat Jul 06 01:58:23 GMT 2024","16044","","Login","","Login successful","","Login successful",""
"passed","Sat Jul 06 01:58:00 GMT 2024","Sat Jul 06 01:58:03 GMT 2024","2586","","List","","Verify that a list can be created in a Board","","Verify that a list can be created in a Board",""
"passed","Sat Jul 06 01:58:03 GMT 2024","Sat Jul 06 01:58:06 GMT 2024","2675","","List","","Verify that a list can be archived","","Verify that a list can be archived",""
"passed","Sat Jul 06 01:57:53 GMT 2024","Sat Jul 06 01:57:58 GMT 2024","5002","","Board","","Verify that a board can be created in a workspace","","Verify that a board can be created in a workspace",""
"passed","Sat Jul 06 01:58:06 GMT 2024","Sat Jul 06 01:58:07 GMT 2024","915","","Workspace","","Verify that a workspace can be created","","Verify that a workspace can be created",""
