"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 18 01:53:53 GMT 2023","Sat Nov 18 01:53:53 GMT 2023","63","","Workspace","","Verify that a Workspace can't be created with an empty display name","","Verify that a Workspace can't be created with an empty display name",""
"passed","Sat Nov 18 01:53:46 GMT 2023","Sat Nov 18 01:53:48 GMT 2023","1726","","Board","","Create a new Board with one character for the name","","Create a new Board with one character for the name",""
"broken","Sat Nov 18 01:54:00 GMT 2023","Sat Nov 18 01:54:01 GMT 2023","951","","Login","","Login successful","","Login successful",""
"passed","Sat Nov 18 01:53:43 GMT 2023","Sat Nov 18 01:53:46 GMT 2023","3574","","Board","","Verify that a board can be created in a workspace","","Verify that a board can be created in a workspace",""
"passed","Sat Nov 18 01:53:48 GMT 2023","Sat Nov 18 01:53:50 GMT 2023","1845","","List","","Verify that a list can be created in a Board","","Verify that a list can be created in a Board",""
"passed","Sat Nov 18 01:53:52 GMT 2023","Sat Nov 18 01:53:52 GMT 2023","610","","Workspace","","Verify that a workspace can be created","","Verify that a workspace can be created",""
"passed","Sat Nov 18 01:53:50 GMT 2023","Sat Nov 18 01:53:52 GMT 2023","2153","","List","","Verify that a list can be archived","","Verify that a list can be archived",""
