"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 30 01:42:28 GMT 2024","Sat Mar 30 01:42:31 GMT 2024","2707","","List","","Verify that a list can be created in a Board","","Verify that a list can be created in a Board",""
"passed","Sat Mar 30 01:42:31 GMT 2024","Sat Mar 30 01:42:34 GMT 2024","2944","","List","","Verify that a list can be archived","","Verify that a list can be archived",""
"passed","Sat Mar 30 01:42:20 GMT 2024","Sat Mar 30 01:42:25 GMT 2024","5795","","Board","","Verify that a board can be created in a workspace","","Verify that a board can be created in a workspace",""
"passed","Sat Mar 30 01:42:19 GMT 2024","Sat Mar 30 01:42:19 GMT 2024","9","Gradle suite","Gradle test","com.ovidiomiranda.framework.core.utils.StringUtilsTest","com.ovidiomiranda.framework.core.utils.StringUtilsTest","deleteLastCharacterFromString","deleteLastCharacterFromString",""
"passed","Sat Mar 30 01:42:34 GMT 2024","Sat Mar 30 01:42:35 GMT 2024","947","","Workspace","","Verify that a workspace can be created","","Verify that a workspace can be created",""
"passed","Sat Mar 30 01:42:35 GMT 2024","Sat Mar 30 01:42:44 GMT 2024","8878","","Login","","Login successful","","Login successful",""
"passed","Sat Mar 30 01:42:35 GMT 2024","Sat Mar 30 01:42:35 GMT 2024","201","","Workspace","","Verify that a Workspace can't be created with an empty display name","","Verify that a Workspace can't be created with an empty display name",""
"passed","Sat Mar 30 01:42:25 GMT 2024","Sat Mar 30 01:42:28 GMT 2024","2607","","Board","","Create a new Board with one character for the name","","Create a new Board with one character for the name",""
