"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2949","Verify that a list can be archived","","Sat Aug 02 02:54:10 GMT 2025","passed","Sat Aug 02 02:54:13 GMT 2025","","List","Verify that a list can be archived",""
"","2478","Verify that a list can be created in a Board","","Sat Aug 02 02:54:08 GMT 2025","passed","Sat Aug 02 02:54:10 GMT 2025","","List","Verify that a list can be created in a Board",""
"","31728","Login successful","","Sat Aug 02 02:54:55 GMT 2025","broken","Sat Aug 02 02:55:26 GMT 2025","","Login","Login successful",""
"","1024","Verify that a workspace can be created","","Sat Aug 02 02:54:13 GMT 2025","passed","Sat Aug 02 02:54:14 GMT 2025","","Workspace","Verify that a workspace can be created",""
"","98","Verify that a Workspace can't be created with an empty display name","","Sat Aug 02 02:54:14 GMT 2025","passed","Sat Aug 02 02:54:15 GMT 2025","","Workspace","Verify that a Workspace can't be created with an empty display name",""
"","2458","Create a new Board with one character for the name","","Sat Aug 02 02:54:05 GMT 2025","passed","Sat Aug 02 02:54:08 GMT 2025","","Board","Create a new Board with one character for the name",""
"","9","deleteLastCharacterFromString","Gradle suite","Sat Aug 02 02:54:54 GMT 2025","passed","Sat Aug 02 02:54:54 GMT 2025","com.ovidiomiranda.framework.core.utils.StringUtilsTest","Gradle test","com.ovidiomiranda.framework.core.utils.StringUtilsTest","deleteLastCharacterFromString"
"","5032","Verify that a board can be created in a workspace","","Sat Aug 02 02:54:00 GMT 2025","passed","Sat Aug 02 02:54:05 GMT 2025","","Board","Verify that a board can be created in a workspace",""
