"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 22 21:51:26 GMT 2024","Thu Feb 22 21:51:32 GMT 2024","5544","","Board","","Verify that a board can be created in a workspace","","Verify that a board can be created in a workspace",""
"passed","Thu Feb 22 21:51:36 GMT 2024","Thu Feb 22 21:51:39 GMT 2024","3050","","List","","Verify that a list can be archived","","Verify that a list can be archived",""
"passed","Thu Feb 22 21:51:32 GMT 2024","Thu Feb 22 21:51:34 GMT 2024","2235","","Board","","Create a new Board with one character for the name","","Create a new Board with one character for the name",""
"passed","Thu Feb 22 21:51:40 GMT 2024","Thu Feb 22 21:51:49 GMT 2024","8941","","Login","","Login successful","","Login successful",""
"passed","Thu Feb 22 21:51:39 GMT 2024","Thu Feb 22 21:51:40 GMT 2024","874","","Workspace","","Verify that a workspace can be created","","Verify that a workspace can be created",""
"passed","Thu Feb 22 21:51:26 GMT 2024","Thu Feb 22 21:51:26 GMT 2024","10","Gradle suite","Gradle test","com.ovidiomiranda.framework.core.utils.StringUtilsTest","com.ovidiomiranda.framework.core.utils.StringUtilsTest","deleteLastCharacterFromString","deleteLastCharacterFromString",""
"passed","Thu Feb 22 21:51:40 GMT 2024","Thu Feb 22 21:51:40 GMT 2024","89","","Workspace","","Verify that a Workspace can't be created with an empty display name","","Verify that a Workspace can't be created with an empty display name",""
"passed","Thu Feb 22 21:51:34 GMT 2024","Thu Feb 22 21:51:36 GMT 2024","2262","","List","","Verify that a list can be created in a Board","","Verify that a list can be created in a Board",""
