"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3993","Verify that a board can be created in a workspace","","Sat Aug 30 02:19:57 UTC 2025","passed","Sat Aug 30 02:20:01 UTC 2025","","Board","Verify that a board can be created in a workspace",""
"","9","deleteLastCharacterFromString","Gradle suite","Sat Aug 30 02:20:46 UTC 2025","passed","Sat Aug 30 02:20:46 UTC 2025","com.ovidiomiranda.framework.core.utils.StringUtilsTest","Gradle test","com.ovidiomiranda.framework.core.utils.StringUtilsTest","deleteLastCharacterFromString"
"","496","Verify that a workspace can be created","","Sat Aug 30 02:20:06 UTC 2025","passed","Sat Aug 30 02:20:06 UTC 2025","","Workspace","Verify that a workspace can be created",""
"","1465","Create a new Board with one character for the name","","Sat Aug 30 02:20:01 UTC 2025","passed","Sat Aug 30 02:20:03 UTC 2025","","Board","Create a new Board with one character for the name",""
"","1451","Verify that a list can be created in a Board","","Sat Aug 30 02:20:03 UTC 2025","passed","Sat Aug 30 02:20:04 UTC 2025","","List","Verify that a list can be created in a Board",""
"","83","Verify that a Workspace can't be created with an empty display name","","Sat Aug 30 02:20:06 UTC 2025","passed","Sat Aug 30 02:20:06 UTC 2025","","Workspace","Verify that a Workspace can't be created with an empty display name",""
"","1662","Verify that a list can be archived","","Sat Aug 30 02:20:04 UTC 2025","passed","Sat Aug 30 02:20:06 UTC 2025","","List","Verify that a list can be archived",""
"","31602","Login successful","","Sat Aug 30 02:20:46 UTC 2025","broken","Sat Aug 30 02:21:18 UTC 2025","","Login","Login successful",""
