"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4846","Verify that a board can be created in a workspace","","Sat Nov 23 02:18:28 GMT 2024","passed","Sat Nov 23 02:18:32 GMT 2024","","Board","Verify that a board can be created in a workspace",""
"","2440","Verify that a list can be archived","","Sat Nov 23 02:18:37 GMT 2024","passed","Sat Nov 23 02:18:39 GMT 2024","","List","Verify that a list can be archived",""
"","9","deleteLastCharacterFromString","Gradle suite","Sat Nov 23 02:18:27 GMT 2024","passed","Sat Nov 23 02:18:27 GMT 2024","com.ovidiomiranda.framework.core.utils.StringUtilsTest","Gradle test","com.ovidiomiranda.framework.core.utils.StringUtilsTest","deleteLastCharacterFromString"
"","96","Verify that a Workspace can't be created with an empty display name","","Sat Nov 23 02:18:40 GMT 2024","passed","Sat Nov 23 02:18:40 GMT 2024","","Workspace","Verify that a Workspace can't be created with an empty display name",""
"","2045","Create a new Board with one character for the name","","Sat Nov 23 02:18:32 GMT 2024","passed","Sat Nov 23 02:18:35 GMT 2024","","Board","Create a new Board with one character for the name",""
"","9451","Login successful","","Sat Nov 23 02:18:40 GMT 2024","passed","Sat Nov 23 02:18:50 GMT 2024","","Login","Login successful",""
"","863","Verify that a workspace can be created","","Sat Nov 23 02:18:39 GMT 2024","passed","Sat Nov 23 02:18:40 GMT 2024","","Workspace","Verify that a workspace can be created",""
"","2259","Verify that a list can be created in a Board","","Sat Nov 23 02:18:35 GMT 2024","passed","Sat Nov 23 02:18:37 GMT 2024","","List","Verify that a list can be created in a Board",""
