"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2816","Create a new Board with one character for the name","","Sat Nov 02 02:14:58 GMT 2024","passed","Sat Nov 02 02:15:01 GMT 2024","","Board","Create a new Board with one character for the name",""
"","2884","Verify that a list can be created in a Board","","Sat Nov 02 02:15:01 GMT 2024","passed","Sat Nov 02 02:15:04 GMT 2024","","List","Verify that a list can be created in a Board",""
"","5120","Verify that a board can be created in a workspace","","Sat Nov 02 02:14:53 GMT 2024","passed","Sat Nov 02 02:14:58 GMT 2024","","Board","Verify that a board can be created in a workspace",""
"","9148","Login successful","","Sat Nov 02 02:15:08 GMT 2024","passed","Sat Nov 02 02:15:17 GMT 2024","","Login","Login successful",""
"","2928","Verify that a list can be archived","","Sat Nov 02 02:15:04 GMT 2024","passed","Sat Nov 02 02:15:07 GMT 2024","","List","Verify that a list can be archived",""
"","970","Verify that a workspace can be created","","Sat Nov 02 02:15:07 GMT 2024","passed","Sat Nov 02 02:15:08 GMT 2024","","Workspace","Verify that a workspace can be created",""
"","9","deleteLastCharacterFromString","Gradle suite","Sat Nov 02 02:14:53 GMT 2024","passed","Sat Nov 02 02:14:53 GMT 2024","com.ovidiomiranda.framework.core.utils.StringUtilsTest","Gradle test","com.ovidiomiranda.framework.core.utils.StringUtilsTest","deleteLastCharacterFromString"
"","178","Verify that a Workspace can't be created with an empty display name","","Sat Nov 02 02:15:08 GMT 2024","passed","Sat Nov 02 02:15:08 GMT 2024","","Workspace","Verify that a Workspace can't be created with an empty display name",""
