"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 04 01:51:28 GMT 2024","Sat May 04 01:51:32 GMT 2024","3108","","List","","Verify that a list can be archived","","Verify that a list can be archived",""
"passed","Sat May 04 01:51:18 GMT 2024","Sat May 04 01:51:23 GMT 2024","5187","","Board","","Verify that a board can be created in a workspace","","Verify that a board can be created in a workspace",""
"passed","Sat May 04 01:51:26 GMT 2024","Sat May 04 01:51:28 GMT 2024","2644","","List","","Verify that a list can be created in a Board","","Verify that a list can be created in a Board",""
"passed","Sat May 04 01:51:33 GMT 2024","Sat May 04 01:51:33 GMT 2024","196","","Workspace","","Verify that a Workspace can't be created with an empty display name","","Verify that a Workspace can't be created with an empty display name",""
"passed","Sat May 04 01:51:23 GMT 2024","Sat May 04 01:51:26 GMT 2024","2497","","Board","","Create a new Board with one character for the name","","Create a new Board with one character for the name",""
"passed","Sat May 04 01:51:33 GMT 2024","Sat May 04 01:51:42 GMT 2024","9227","","Login","","Login successful","","Login successful",""
"passed","Sat May 04 01:51:32 GMT 2024","Sat May 04 01:51:33 GMT 2024","945","","Workspace","","Verify that a workspace can be created","","Verify that a workspace can be created",""
"passed","Sat May 04 01:51:18 GMT 2024","Sat May 04 01:51:18 GMT 2024","9","Gradle suite","Gradle test","com.ovidiomiranda.framework.core.utils.StringUtilsTest","com.ovidiomiranda.framework.core.utils.StringUtilsTest","deleteLastCharacterFromString","deleteLastCharacterFromString",""
