"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","612","Verify that a workspace can be created","","Sat Apr 04 03:33:42 UTC 2026","passed","Sat Apr 04 03:33:43 UTC 2026","","Workspace","Verify that a workspace can be created",""
"","130","Verify that a Workspace can't be created with an empty display name","","Sat Apr 04 03:33:43 UTC 2026","passed","Sat Apr 04 03:33:43 UTC 2026","","Workspace","Verify that a Workspace can't be created with an empty display name",""
"","1574","Verify that a list can be created in a Board","","Sat Apr 04 03:33:39 UTC 2026","passed","Sat Apr 04 03:33:40 UTC 2026","","List","Verify that a list can be created in a Board",""
"","4220","Verify that a board can be created in a workspace","","Sat Apr 04 03:33:33 UTC 2026","passed","Sat Apr 04 03:33:37 UTC 2026","","Board","Verify that a board can be created in a workspace",""
"","1511","Create a new Board with one character for the name","","Sat Apr 04 03:33:37 UTC 2026","passed","Sat Apr 04 03:33:39 UTC 2026","","Board","Create a new Board with one character for the name",""
"","9","deleteLastCharacterFromString","Gradle suite","Sat Apr 04 03:33:32 UTC 2026","passed","Sat Apr 04 03:33:32 UTC 2026","com.ovidiomiranda.framework.core.utils.StringUtilsTest","Gradle test","com.ovidiomiranda.framework.core.utils.StringUtilsTest","deleteLastCharacterFromString"
"","1842","Verify that a list can be archived","","Sat Apr 04 03:33:40 UTC 2026","passed","Sat Apr 04 03:33:42 UTC 2026","","List","Verify that a list can be archived",""
"","12388","Login successful","","Sat Apr 04 03:33:43 UTC 2026","passed","Sat Apr 04 03:33:55 UTC 2026","","Login","Login successful",""
