"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 19 02:15:16 GMT 2024","Sat Oct 19 02:15:16 GMT 2024","157","","Workspace","","Verify that a Workspace can't be created with an empty display name","","Verify that a Workspace can't be created with an empty display name",""
"passed","Sat Oct 19 02:15:15 GMT 2024","Sat Oct 19 02:15:16 GMT 2024","941","","Workspace","","Verify that a workspace can be created","","Verify that a workspace can be created",""
"failed","Sat Oct 19 02:15:50 GMT 2024","Sat Oct 19 02:15:55 GMT 2024","5282","","List","","Verify that a list can be created in a Board","","Verify that a list can be created in a Board",""
"failed","Sat Oct 19 02:15:55 GMT 2024","Sat Oct 19 02:15:59 GMT 2024","3165","","List","","Verify that a list can be archived","","Verify that a list can be archived",""
"passed","Sat Oct 19 02:15:07 GMT 2024","Sat Oct 19 02:15:09 GMT 2024","2436","","Board","","Create a new Board with one character for the name","","Create a new Board with one character for the name",""
"passed","Sat Oct 19 02:15:01 GMT 2024","Sat Oct 19 02:15:07 GMT 2024","5339","","Board","","Verify that a board can be created in a workspace","","Verify that a board can be created in a workspace",""
"passed","Sat Oct 19 02:15:50 GMT 2024","Sat Oct 19 02:15:50 GMT 2024","8","Gradle suite","Gradle test","com.ovidiomiranda.framework.core.utils.StringUtilsTest","com.ovidiomiranda.framework.core.utils.StringUtilsTest","deleteLastCharacterFromString","deleteLastCharacterFromString",""
"passed","Sat Oct 19 02:15:16 GMT 2024","Sat Oct 19 02:15:43 GMT 2024","26721","","Login","","Login successful","","Login successful",""
