"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1539","Verify that a list can be created in a Board","","Sat Jan 17 02:50:29 UTC 2026","passed","Sat Jan 17 02:50:30 UTC 2026","","List","Verify that a list can be created in a Board",""
"","10","deleteLastCharacterFromString","Gradle suite","Sat Jan 17 02:51:13 UTC 2026","passed","Sat Jan 17 02:51:13 UTC 2026","com.ovidiomiranda.framework.core.utils.StringUtilsTest","Gradle test","com.ovidiomiranda.framework.core.utils.StringUtilsTest","deleteLastCharacterFromString"
"","4137","Verify that a board can be created in a workspace","","Sat Jan 17 02:50:23 UTC 2026","passed","Sat Jan 17 02:50:27 UTC 2026","","Board","Verify that a board can be created in a workspace",""
"","533","Verify that a workspace can be created","","Sat Jan 17 02:50:32 UTC 2026","passed","Sat Jan 17 02:50:33 UTC 2026","","Workspace","Verify that a workspace can be created",""
"","1394","Create a new Board with one character for the name","","Sat Jan 17 02:50:27 UTC 2026","passed","Sat Jan 17 02:50:29 UTC 2026","","Board","Create a new Board with one character for the name",""
"","32077","Login successful","","Sat Jan 17 02:51:13 UTC 2026","broken","Sat Jan 17 02:51:45 UTC 2026","","Login","Login successful",""
"","131","Verify that a Workspace can't be created with an empty display name","","Sat Jan 17 02:50:33 UTC 2026","passed","Sat Jan 17 02:50:33 UTC 2026","","Workspace","Verify that a Workspace can't be created with an empty display name",""
"","1779","Verify that a list can be archived","","Sat Jan 17 02:50:30 UTC 2026","passed","Sat Jan 17 02:50:32 UTC 2026","","List","Verify that a list can be archived",""
