"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9165","Login successful","","Sat Nov 09 02:11:17 GMT 2024","passed","Sat Nov 09 02:11:26 GMT 2024","","Login","Login successful",""
"","957","Verify that a workspace can be created","","Sat Nov 09 02:11:16 GMT 2024","passed","Sat Nov 09 02:11:17 GMT 2024","","Workspace","Verify that a workspace can be created",""
"","9","deleteLastCharacterFromString","Gradle suite","Sat Nov 09 02:11:02 GMT 2024","passed","Sat Nov 09 02:11:02 GMT 2024","com.ovidiomiranda.framework.core.utils.StringUtilsTest","Gradle test","com.ovidiomiranda.framework.core.utils.StringUtilsTest","deleteLastCharacterFromString"
"","5139","Verify that a board can be created in a workspace","","Sat Nov 09 02:11:02 GMT 2024","passed","Sat Nov 09 02:11:08 GMT 2024","","Board","Verify that a board can be created in a workspace",""
"","101","Verify that a Workspace can't be created with an empty display name","","Sat Nov 09 02:11:17 GMT 2024","passed","Sat Nov 09 02:11:17 GMT 2024","","Workspace","Verify that a Workspace can't be created with an empty display name",""
"","2876","Verify that a list can be created in a Board","","Sat Nov 09 02:11:10 GMT 2024","passed","Sat Nov 09 02:11:13 GMT 2024","","List","Verify that a list can be created in a Board",""
"","2544","Create a new Board with one character for the name","","Sat Nov 09 02:11:08 GMT 2024","passed","Sat Nov 09 02:11:10 GMT 2024","","Board","Create a new Board with one character for the name",""
"","2482","Verify that a list can be archived","","Sat Nov 09 02:11:13 GMT 2024","passed","Sat Nov 09 02:11:16 GMT 2024","","List","Verify that a list can be archived",""
