"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 07 02:08:16 GMT 2024","Sat Sep 07 02:08:16 GMT 2024","98","","Workspace","","Verify that a Workspace can't be created with an empty display name","","Verify that a Workspace can't be created with an empty display name",""
"failed","Sat Sep 07 02:08:38 GMT 2024","Sat Sep 07 02:08:40 GMT 2024","2531","","List","","Verify that a list can be archived","","Verify that a list can be archived",""
"passed","Sat Sep 07 02:08:16 GMT 2024","Sat Sep 07 02:08:26 GMT 2024","9600","","Login","","Login successful","","Login successful",""
"passed","Sat Sep 07 02:08:08 GMT 2024","Sat Sep 07 02:08:10 GMT 2024","2274","","Board","","Create a new Board with one character for the name","","Create a new Board with one character for the name",""
"passed","Sat Sep 07 02:08:32 GMT 2024","Sat Sep 07 02:08:32 GMT 2024","9","Gradle suite","Gradle test","com.ovidiomiranda.framework.core.utils.StringUtilsTest","com.ovidiomiranda.framework.core.utils.StringUtilsTest","deleteLastCharacterFromString","deleteLastCharacterFromString",""
"failed","Sat Sep 07 02:08:33 GMT 2024","Sat Sep 07 02:08:38 GMT 2024","4963","","List","","Verify that a list can be created in a Board","","Verify that a list can be created in a Board",""
"passed","Sat Sep 07 02:08:15 GMT 2024","Sat Sep 07 02:08:16 GMT 2024","751","","Workspace","","Verify that a workspace can be created","","Verify that a workspace can be created",""
"passed","Sat Sep 07 02:08:03 GMT 2024","Sat Sep 07 02:08:08 GMT 2024","5170","","Board","","Verify that a board can be created in a workspace","","Verify that a board can be created in a workspace",""
