"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31937","Login successful","","Sat Jun 28 02:45:06 GMT 2025","broken","Sat Jun 28 02:45:38 GMT 2025","","Login","Login successful",""
"","2539","Create a new Board with one character for the name","","Sat Jun 28 02:44:13 GMT 2025","passed","Sat Jun 28 02:44:16 GMT 2025","","Board","Create a new Board with one character for the name",""
"","8","deleteLastCharacterFromString","Gradle suite","Sat Jun 28 02:45:05 GMT 2025","passed","Sat Jun 28 02:45:05 GMT 2025","com.ovidiomiranda.framework.core.utils.StringUtilsTest","Gradle test","com.ovidiomiranda.framework.core.utils.StringUtilsTest","deleteLastCharacterFromString"
"","5412","Verify that a board can be created in a workspace","","Sat Jun 28 02:44:08 GMT 2025","passed","Sat Jun 28 02:44:13 GMT 2025","","Board","Verify that a board can be created in a workspace",""
"","1276","Verify that a workspace can be created","","Sat Jun 28 02:44:22 GMT 2025","passed","Sat Jun 28 02:44:23 GMT 2025","","Workspace","Verify that a workspace can be created",""
"","189","Verify that a Workspace can't be created with an empty display name","","Sat Jun 28 02:44:23 GMT 2025","passed","Sat Jun 28 02:44:23 GMT 2025","","Workspace","Verify that a Workspace can't be created with an empty display name",""
"","2988","Verify that a list can be created in a Board","","Sat Jun 28 02:44:16 GMT 2025","passed","Sat Jun 28 02:44:19 GMT 2025","","List","Verify that a list can be created in a Board",""
"","3408","Verify that a list can be archived","","Sat Jun 28 02:44:19 GMT 2025","passed","Sat Jun 28 02:44:22 GMT 2025","","List","Verify that a list can be archived",""
