"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4186","Verify that a board can be created in a workspace","","Sat Sep 20 02:19:26 UTC 2025","passed","Sat Sep 20 02:19:30 UTC 2025","","Board","Verify that a board can be created in a workspace",""
"","125","Verify that a Workspace can't be created with an empty display name","","Sat Sep 20 02:19:35 UTC 2025","passed","Sat Sep 20 02:19:35 UTC 2025","","Workspace","Verify that a Workspace can't be created with an empty display name",""
"","579","Verify that a workspace can be created","","Sat Sep 20 02:19:35 UTC 2025","passed","Sat Sep 20 02:19:35 UTC 2025","","Workspace","Verify that a workspace can be created",""
"","1514","Create a new Board with one character for the name","","Sat Sep 20 02:19:30 UTC 2025","passed","Sat Sep 20 02:19:31 UTC 2025","","Board","Create a new Board with one character for the name",""
"","1565","Verify that a list can be created in a Board","","Sat Sep 20 02:19:31 UTC 2025","passed","Sat Sep 20 02:19:33 UTC 2025","","List","Verify that a list can be created in a Board",""
"","31968","Login successful","","Sat Sep 20 02:20:16 UTC 2025","broken","Sat Sep 20 02:20:48 UTC 2025","","Login","Login successful",""
"","8","deleteLastCharacterFromString","Gradle suite","Sat Sep 20 02:20:15 UTC 2025","passed","Sat Sep 20 02:20:15 UTC 2025","com.ovidiomiranda.framework.core.utils.StringUtilsTest","Gradle test","com.ovidiomiranda.framework.core.utils.StringUtilsTest","deleteLastCharacterFromString"
"","1732","Verify that a list can be archived","","Sat Sep 20 02:19:33 UTC 2025","passed","Sat Sep 20 02:19:35 UTC 2025","","List","Verify that a list can be archived",""
