"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1030","Verify that a workspace can be created","","Sat Jul 19 02:51:43 GMT 2025","passed","Sat Jul 19 02:51:44 GMT 2025","","Workspace","Verify that a workspace can be created",""
"","179","Verify that a Workspace can't be created with an empty display name","","Sat Jul 19 02:51:44 GMT 2025","passed","Sat Jul 19 02:51:44 GMT 2025","","Workspace","Verify that a Workspace can't be created with an empty display name",""
"","3493","Verify that a list can be archived","","Sat Jul 19 02:51:40 GMT 2025","passed","Sat Jul 19 02:51:43 GMT 2025","","List","Verify that a list can be archived",""
"","8","deleteLastCharacterFromString","Gradle suite","Sat Jul 19 02:52:26 GMT 2025","passed","Sat Jul 19 02:52:26 GMT 2025","com.ovidiomiranda.framework.core.utils.StringUtilsTest","Gradle test","com.ovidiomiranda.framework.core.utils.StringUtilsTest","deleteLastCharacterFromString"
"","3071","Create a new Board with one character for the name","","Sat Jul 19 02:51:34 GMT 2025","passed","Sat Jul 19 02:51:37 GMT 2025","","Board","Create a new Board with one character for the name",""
"","3086","Verify that a list can be created in a Board","","Sat Jul 19 02:51:37 GMT 2025","passed","Sat Jul 19 02:51:40 GMT 2025","","List","Verify that a list can be created in a Board",""
"","32111","Login successful","","Sat Jul 19 02:52:26 GMT 2025","broken","Sat Jul 19 02:52:59 GMT 2025","","Login","Login successful",""
"","5538","Verify that a board can be created in a workspace","","Sat Jul 19 02:51:28 GMT 2025","passed","Sat Jul 19 02:51:33 GMT 2025","","Board","Verify that a board can be created in a workspace",""
