"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1986","Verify that a list can be archived","","Sat Jan 10 02:51:46 UTC 2026","passed","Sat Jan 10 02:51:48 UTC 2026","","List","Verify that a list can be archived",""
"","4145","Verify that a board can be created in a workspace","","Sat Jan 10 02:51:39 UTC 2026","passed","Sat Jan 10 02:51:43 UTC 2026","","Board","Verify that a board can be created in a workspace",""
"","669","Verify that a workspace can be created","","Sat Jan 10 02:51:48 UTC 2026","passed","Sat Jan 10 02:51:49 UTC 2026","","Workspace","Verify that a workspace can be created",""
"","1710","Verify that a list can be created in a Board","","Sat Jan 10 02:51:45 UTC 2026","passed","Sat Jan 10 02:51:46 UTC 2026","","List","Verify that a list can be created in a Board",""
"","162","Verify that a Workspace can't be created with an empty display name","","Sat Jan 10 02:51:49 UTC 2026","passed","Sat Jan 10 02:51:49 UTC 2026","","Workspace","Verify that a Workspace can't be created with an empty display name",""
"","8","deleteLastCharacterFromString","Gradle suite","Sat Jan 10 02:52:29 UTC 2026","passed","Sat Jan 10 02:52:29 UTC 2026","com.ovidiomiranda.framework.core.utils.StringUtilsTest","Gradle test","com.ovidiomiranda.framework.core.utils.StringUtilsTest","deleteLastCharacterFromString"
"","1558","Create a new Board with one character for the name","","Sat Jan 10 02:51:43 UTC 2026","passed","Sat Jan 10 02:51:45 UTC 2026","","Board","Create a new Board with one character for the name",""
"","32079","Login successful","","Sat Jan 10 02:52:29 UTC 2026","broken","Sat Jan 10 02:53:01 UTC 2026","","Login","Login successful",""
