"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 28 02:15:04 GMT 2024","Sat Sep 28 02:15:05 GMT 2024","885","","Workspace","","Verify that a workspace can be created","","Verify that a workspace can be created",""
"failed","Sat Sep 28 02:15:26 GMT 2024","Sat Sep 28 02:15:29 GMT 2024","2594","","List","","Verify that a list can be archived","","Verify that a list can be archived",""
"passed","Sat Sep 28 02:15:20 GMT 2024","Sat Sep 28 02:15:20 GMT 2024","9","Gradle suite","Gradle test","com.ovidiomiranda.framework.core.utils.StringUtilsTest","com.ovidiomiranda.framework.core.utils.StringUtilsTest","deleteLastCharacterFromString","deleteLastCharacterFromString",""
"passed","Sat Sep 28 02:14:51 GMT 2024","Sat Sep 28 02:14:57 GMT 2024","5203","","Board","","Verify that a board can be created in a workspace","","Verify that a board can be created in a workspace",""
"passed","Sat Sep 28 02:15:05 GMT 2024","Sat Sep 28 02:15:14 GMT 2024","8942","","Login","","Login successful","","Login successful",""
"passed","Sat Sep 28 02:15:05 GMT 2024","Sat Sep 28 02:15:05 GMT 2024","97","","Workspace","","Verify that a Workspace can't be created with an empty display name","","Verify that a Workspace can't be created with an empty display name",""
"passed","Sat Sep 28 02:14:57 GMT 2024","Sat Sep 28 02:14:59 GMT 2024","2317","","Board","","Create a new Board with one character for the name","","Create a new Board with one character for the name",""
"failed","Sat Sep 28 02:15:21 GMT 2024","Sat Sep 28 02:15:26 GMT 2024","4986","","List","","Verify that a list can be created in a Board","","Verify that a list can be created in a Board",""
