"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2076","Verify that a list can be archived","","Sat Jan 31 03:22:05 UTC 2026","passed","Sat Jan 31 03:22:07 UTC 2026","","List","Verify that a list can be archived",""
"","7","deleteLastCharacterFromString","Gradle suite","Sat Jan 31 03:22:49 UTC 2026","passed","Sat Jan 31 03:22:49 UTC 2026","com.ovidiomiranda.framework.core.utils.StringUtilsTest","Gradle test","com.ovidiomiranda.framework.core.utils.StringUtilsTest","deleteLastCharacterFromString"
"","1929","Verify that a list can be created in a Board","","Sat Jan 31 03:22:03 UTC 2026","passed","Sat Jan 31 03:22:05 UTC 2026","","List","Verify that a list can be created in a Board",""
"","32043","Login successful","","Sat Jan 31 03:22:50 UTC 2026","broken","Sat Jan 31 03:23:22 UTC 2026","","Login","Login successful",""
"","4396","Verify that a board can be created in a workspace","","Sat Jan 31 03:21:57 UTC 2026","passed","Sat Jan 31 03:22:01 UTC 2026","","Board","Verify that a board can be created in a workspace",""
"","180","Verify that a Workspace can't be created with an empty display name","","Sat Jan 31 03:22:08 UTC 2026","passed","Sat Jan 31 03:22:08 UTC 2026","","Workspace","Verify that a Workspace can't be created with an empty display name",""
"","1990","Create a new Board with one character for the name","","Sat Jan 31 03:22:01 UTC 2026","passed","Sat Jan 31 03:22:03 UTC 2026","","Board","Create a new Board with one character for the name",""
"","654","Verify that a workspace can be created","","Sat Jan 31 03:22:07 UTC 2026","passed","Sat Jan 31 03:22:08 UTC 2026","","Workspace","Verify that a workspace can be created",""
