"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Oct 05 02:15:09 GMT 2024","Sat Oct 05 02:15:14 GMT 2024","5492","","List","","Verify that a list can be created in a Board","","Verify that a list can be created in a Board",""
"passed","Sat Oct 05 02:14:51 GMT 2024","Sat Oct 05 02:14:52 GMT 2024","960","","Workspace","","Verify that a workspace can be created","","Verify that a workspace can be created",""
"failed","Sat Oct 05 02:15:14 GMT 2024","Sat Oct 05 02:15:17 GMT 2024","2859","","List","","Verify that a list can be archived","","Verify that a list can be archived",""
"passed","Sat Oct 05 02:14:37 GMT 2024","Sat Oct 05 02:14:43 GMT 2024","5484","","Board","","Verify that a board can be created in a workspace","","Verify that a board can be created in a workspace",""
"passed","Sat Oct 05 02:14:43 GMT 2024","Sat Oct 05 02:14:45 GMT 2024","2553","","Board","","Create a new Board with one character for the name","","Create a new Board with one character for the name",""
"passed","Sat Oct 05 02:15:08 GMT 2024","Sat Oct 05 02:15:08 GMT 2024","9","Gradle suite","Gradle test","com.ovidiomiranda.framework.core.utils.StringUtilsTest","com.ovidiomiranda.framework.core.utils.StringUtilsTest","deleteLastCharacterFromString","deleteLastCharacterFromString",""
"passed","Sat Oct 05 02:14:52 GMT 2024","Sat Oct 05 02:15:01 GMT 2024","9312","","Login","","Login successful","","Login successful",""
"passed","Sat Oct 05 02:14:52 GMT 2024","Sat Oct 05 02:14:52 GMT 2024","154","","Workspace","","Verify that a Workspace can't be created with an empty display name","","Verify that a Workspace can't be created with an empty display name",""
