"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32117","Login successful","","Sat Sep 27 02:20:07 UTC 2025","broken","Sat Sep 27 02:20:39 UTC 2025","","Login","Login successful",""
"","1519","Create a new Board with one character for the name","","Sat Sep 27 02:19:19 UTC 2025","passed","Sat Sep 27 02:19:21 UTC 2025","","Board","Create a new Board with one character for the name",""
"","1707","Verify that a list can be created in a Board","","Sat Sep 27 02:19:21 UTC 2025","passed","Sat Sep 27 02:19:22 UTC 2025","","List","Verify that a list can be created in a Board",""
"","131","Verify that a Workspace can't be created with an empty display name","","Sat Sep 27 02:19:25 UTC 2025","passed","Sat Sep 27 02:19:25 UTC 2025","","Workspace","Verify that a Workspace can't be created with an empty display name",""
"","567","Verify that a workspace can be created","","Sat Sep 27 02:19:24 UTC 2025","passed","Sat Sep 27 02:19:25 UTC 2025","","Workspace","Verify that a workspace can be created",""
"","10","deleteLastCharacterFromString","Gradle suite","Sat Sep 27 02:20:06 UTC 2025","passed","Sat Sep 27 02:20:06 UTC 2025","com.ovidiomiranda.framework.core.utils.StringUtilsTest","Gradle test","com.ovidiomiranda.framework.core.utils.StringUtilsTest","deleteLastCharacterFromString"
"","4610","Verify that a board can be created in a workspace","","Sat Sep 27 02:19:14 UTC 2025","passed","Sat Sep 27 02:19:19 UTC 2025","","Board","Verify that a board can be created in a workspace",""
"","1862","Verify that a list can be archived","","Sat Sep 27 02:19:22 UTC 2025","passed","Sat Sep 27 02:19:24 UTC 2025","","List","Verify that a list can be archived",""
