"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1568","Create a new Board with one character for the name","","Sat Dec 20 02:43:50 UTC 2025","passed","Sat Dec 20 02:43:51 UTC 2025","","Board","Create a new Board with one character for the name",""
"","4219","Verify that a board can be created in a workspace","","Sat Dec 20 02:43:46 UTC 2025","passed","Sat Dec 20 02:43:50 UTC 2025","","Board","Verify that a board can be created in a workspace",""
"","148","Verify that a Workspace can't be created with an empty display name","","Sat Dec 20 02:43:56 UTC 2025","passed","Sat Dec 20 02:43:56 UTC 2025","","Workspace","Verify that a Workspace can't be created with an empty display name",""
"","1906","Verify that a list can be archived","","Sat Dec 20 02:43:53 UTC 2025","passed","Sat Dec 20 02:43:55 UTC 2025","","List","Verify that a list can be archived",""
"","1657","Verify that a list can be created in a Board","","Sat Dec 20 02:43:51 UTC 2025","passed","Sat Dec 20 02:43:53 UTC 2025","","List","Verify that a list can be created in a Board",""
"","9","deleteLastCharacterFromString","Gradle suite","Sat Dec 20 02:44:37 UTC 2025","passed","Sat Dec 20 02:44:37 UTC 2025","com.ovidiomiranda.framework.core.utils.StringUtilsTest","Gradle test","com.ovidiomiranda.framework.core.utils.StringUtilsTest","deleteLastCharacterFromString"
"","32030","Login successful","","Sat Dec 20 02:44:38 UTC 2025","broken","Sat Dec 20 02:45:10 UTC 2025","","Login","Login successful",""
"","623","Verify that a workspace can be created","","Sat Dec 20 02:43:55 UTC 2025","passed","Sat Dec 20 02:43:56 UTC 2025","","Workspace","Verify that a workspace can be created",""
