"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1021","Verify that a workspace can be created","","Sat May 31 02:53:05 GMT 2025","passed","Sat May 31 02:53:06 GMT 2025","","Workspace","Verify that a workspace can be created",""
"","2792","Verify that a list can be created in a Board","","Sat May 31 02:53:00 GMT 2025","passed","Sat May 31 02:53:02 GMT 2025","","List","Verify that a list can be created in a Board",""
"","5514","Verify that a board can be created in a workspace","","Sat May 31 02:52:52 GMT 2025","passed","Sat May 31 02:52:57 GMT 2025","","Board","Verify that a board can be created in a workspace",""
"","10327","Login successful","","Sat May 31 02:53:06 GMT 2025","passed","Sat May 31 02:53:17 GMT 2025","","Login","Login successful",""
"","97","Verify that a Workspace can't be created with an empty display name","","Sat May 31 02:53:06 GMT 2025","passed","Sat May 31 02:53:06 GMT 2025","","Workspace","Verify that a Workspace can't be created with an empty display name",""
"","2423","Create a new Board with one character for the name","","Sat May 31 02:52:57 GMT 2025","passed","Sat May 31 02:53:00 GMT 2025","","Board","Create a new Board with one character for the name",""
"","9","deleteLastCharacterFromString","Gradle suite","Sat May 31 02:52:51 GMT 2025","passed","Sat May 31 02:52:51 GMT 2025","com.ovidiomiranda.framework.core.utils.StringUtilsTest","Gradle test","com.ovidiomiranda.framework.core.utils.StringUtilsTest","deleteLastCharacterFromString"
"","2745","Verify that a list can be archived","","Sat May 31 02:53:02 GMT 2025","passed","Sat May 31 02:53:05 GMT 2025","","List","Verify that a list can be archived",""
