"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Dec 09 01:53:30 GMT 2023","Sat Dec 09 01:53:31 GMT 2023","678","","Login","","Login successful","","Login successful",""
"failed","Sat Dec 09 01:53:23 GMT 2023","Sat Dec 09 01:53:27 GMT 2023","3870","","List","","Verify that a list can be created in a Board","","Verify that a list can be created in a Board",""
"passed","Sat Dec 09 01:53:05 GMT 2023","Sat Dec 09 01:53:09 GMT 2023","3858","","Board","","Verify that a board can be created in a workspace","","Verify that a board can be created in a workspace",""
"passed","Sat Dec 09 01:53:09 GMT 2023","Sat Dec 09 01:53:11 GMT 2023","1874","","Board","","Create a new Board with one character for the name","","Create a new Board with one character for the name",""
"failed","Sat Dec 09 01:53:30 GMT 2023","Sat Dec 09 01:53:30 GMT 2023","740","","Workspace","","Verify that a workspace can be created","","Verify that a workspace can be created",""
"failed","Sat Dec 09 01:53:27 GMT 2023","Sat Dec 09 01:53:30 GMT 2023","2214","","List","","Verify that a list can be archived","","Verify that a list can be archived",""
"passed","Sat Dec 09 01:53:16 GMT 2023","Sat Dec 09 01:53:16 GMT 2023","77","","Workspace","","Verify that a Workspace can't be created with an empty display name","","Verify that a Workspace can't be created with an empty display name",""
