"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1552","Create a new Board with one character for the name","","Sat Dec 13 02:44:00 UTC 2025","passed","Sat Dec 13 02:44:02 UTC 2025","","Board","Create a new Board with one character for the name",""
"","127","Verify that a Workspace can't be created with an empty display name","","Sat Dec 13 02:44:06 UTC 2025","passed","Sat Dec 13 02:44:06 UTC 2025","","Workspace","Verify that a Workspace can't be created with an empty display name",""
"","4523","Verify that a board can be created in a workspace","","Sat Dec 13 02:43:56 UTC 2025","passed","Sat Dec 13 02:44:00 UTC 2025","","Board","Verify that a board can be created in a workspace",""
"","1535","Verify that a list can be created in a Board","","Sat Dec 13 02:44:02 UTC 2025","passed","Sat Dec 13 02:44:03 UTC 2025","","List","Verify that a list can be created in a Board",""
"","1815","Verify that a list can be archived","","Sat Dec 13 02:44:03 UTC 2025","passed","Sat Dec 13 02:44:05 UTC 2025","","List","Verify that a list can be archived",""
"","32258","Login successful","","Sat Dec 13 02:44:49 UTC 2025","broken","Sat Dec 13 02:45:21 UTC 2025","","Login","Login successful",""
"","562","Verify that a workspace can be created","","Sat Dec 13 02:44:05 UTC 2025","passed","Sat Dec 13 02:44:06 UTC 2025","","Workspace","Verify that a workspace can be created",""
"","12","deleteLastCharacterFromString","Gradle suite","Sat Dec 13 02:44:48 UTC 2025","passed","Sat Dec 13 02:44:48 UTC 2025","com.ovidiomiranda.framework.core.utils.StringUtilsTest","Gradle test","com.ovidiomiranda.framework.core.utils.StringUtilsTest","deleteLastCharacterFromString"
