"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 25 01:54:35 GMT 2024","Sat May 25 01:54:38 GMT 2024","2456","","List","","Verify that a list can be archived","","Verify that a list can be archived",""
"passed","Sat May 25 01:54:38 GMT 2024","Sat May 25 01:54:38 GMT 2024","749","","Workspace","","Verify that a workspace can be created","","Verify that a workspace can be created",""
"passed","Sat May 25 01:54:31 GMT 2024","Sat May 25 01:54:33 GMT 2024","2143","","Board","","Create a new Board with one character for the name","","Create a new Board with one character for the name",""
"passed","Sat May 25 01:54:33 GMT 2024","Sat May 25 01:54:35 GMT 2024","2409","","List","","Verify that a list can be created in a Board","","Verify that a list can be created in a Board",""
"passed","Sat May 25 01:54:38 GMT 2024","Sat May 25 01:54:48 GMT 2024","9422","","Login","","Login successful","","Login successful",""
"passed","Sat May 25 01:54:25 GMT 2024","Sat May 25 01:54:25 GMT 2024","9","Gradle suite","Gradle test","com.ovidiomiranda.framework.core.utils.StringUtilsTest","com.ovidiomiranda.framework.core.utils.StringUtilsTest","deleteLastCharacterFromString","deleteLastCharacterFromString",""
"passed","Sat May 25 01:54:26 GMT 2024","Sat May 25 01:54:31 GMT 2024","4856","","Board","","Verify that a board can be created in a workspace","","Verify that a board can be created in a workspace",""
"passed","Sat May 25 01:54:38 GMT 2024","Sat May 25 01:54:38 GMT 2024","92","","Workspace","","Verify that a Workspace can't be created with an empty display name","","Verify that a Workspace can't be created with an empty display name",""
