"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1735","Verify that a list can be archived","","Sat Oct 18 02:18:29 UTC 2025","passed","Sat Oct 18 02:18:31 UTC 2025","","List","Verify that a list can be archived",""
"","31916","Login successful","","Sat Oct 18 02:19:19 UTC 2025","broken","Sat Oct 18 02:19:51 UTC 2025","","Login","Login successful",""
"","1411","Create a new Board with one character for the name","","Sat Oct 18 02:18:26 UTC 2025","passed","Sat Oct 18 02:18:27 UTC 2025","","Board","Create a new Board with one character for the name",""
"","9","deleteLastCharacterFromString","Gradle suite","Sat Oct 18 02:19:19 UTC 2025","passed","Sat Oct 18 02:19:19 UTC 2025","com.ovidiomiranda.framework.core.utils.StringUtilsTest","Gradle test","com.ovidiomiranda.framework.core.utils.StringUtilsTest","deleteLastCharacterFromString"
"","4193","Verify that a board can be created in a workspace","","Sat Oct 18 02:18:22 UTC 2025","passed","Sat Oct 18 02:18:26 UTC 2025","","Board","Verify that a board can be created in a workspace",""
"","1502","Verify that a list can be created in a Board","","Sat Oct 18 02:18:27 UTC 2025","passed","Sat Oct 18 02:18:29 UTC 2025","","List","Verify that a list can be created in a Board",""
"","102","Verify that a Workspace can't be created with an empty display name","","Sat Oct 18 02:18:31 UTC 2025","passed","Sat Oct 18 02:18:31 UTC 2025","","Workspace","Verify that a Workspace can't be created with an empty display name",""
"","507","Verify that a workspace can be created","","Sat Oct 18 02:18:31 UTC 2025","passed","Sat Oct 18 02:18:31 UTC 2025","","Workspace","Verify that a workspace can be created",""
