"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2396","Verify that a list can be archived","","Sat Feb 15 02:14:23 GMT 2025","passed","Sat Feb 15 02:14:26 GMT 2025","","List","Verify that a list can be archived",""
"","2221","Create a new Board with one character for the name","","Sat Feb 15 02:14:19 GMT 2025","passed","Sat Feb 15 02:14:21 GMT 2025","","Board","Create a new Board with one character for the name",""
"","2252","Verify that a list can be created in a Board","","Sat Feb 15 02:14:21 GMT 2025","passed","Sat Feb 15 02:14:23 GMT 2025","","List","Verify that a list can be created in a Board",""
"","4714","Verify that a board can be created in a workspace","","Sat Feb 15 02:14:14 GMT 2025","passed","Sat Feb 15 02:14:19 GMT 2025","","Board","Verify that a board can be created in a workspace",""
"","888","Verify that a workspace can be created","","Sat Feb 15 02:14:26 GMT 2025","passed","Sat Feb 15 02:14:27 GMT 2025","","Workspace","Verify that a workspace can be created",""
"","8","deleteLastCharacterFromString","Gradle suite","Sat Feb 15 02:14:14 GMT 2025","passed","Sat Feb 15 02:14:14 GMT 2025","com.ovidiomiranda.framework.core.utils.StringUtilsTest","Gradle test","com.ovidiomiranda.framework.core.utils.StringUtilsTest","deleteLastCharacterFromString"
"","92","Verify that a Workspace can't be created with an empty display name","","Sat Feb 15 02:14:27 GMT 2025","passed","Sat Feb 15 02:14:27 GMT 2025","","Workspace","Verify that a Workspace can't be created with an empty display name",""
"","9113","Login successful","","Sat Feb 15 02:14:27 GMT 2025","passed","Sat Feb 15 02:14:36 GMT 2025","","Login","Login successful",""
