"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 23 01:43:50 GMT 2024","Sat Mar 23 01:43:52 GMT 2024","2763","","List","","Verify that a list can be archived","","Verify that a list can be archived",""
"passed","Sat Mar 23 01:43:52 GMT 2024","Sat Mar 23 01:43:53 GMT 2024","847","","Workspace","","Verify that a workspace can be created","","Verify that a workspace can be created",""
"passed","Sat Mar 23 01:43:53 GMT 2024","Sat Mar 23 01:44:03 GMT 2024","10030","","Login","","Login successful","","Login successful",""
"passed","Sat Mar 23 01:43:40 GMT 2024","Sat Mar 23 01:43:45 GMT 2024","5100","","Board","","Verify that a board can be created in a workspace","","Verify that a board can be created in a workspace",""
"passed","Sat Mar 23 01:43:53 GMT 2024","Sat Mar 23 01:43:53 GMT 2024","100","","Workspace","","Verify that a Workspace can't be created with an empty display name","","Verify that a Workspace can't be created with an empty display name",""
"passed","Sat Mar 23 01:43:45 GMT 2024","Sat Mar 23 01:43:47 GMT 2024","2276","","Board","","Create a new Board with one character for the name","","Create a new Board with one character for the name",""
"passed","Sat Mar 23 01:43:39 GMT 2024","Sat Mar 23 01:43:39 GMT 2024","9","Gradle suite","Gradle test","com.ovidiomiranda.framework.core.utils.StringUtilsTest","com.ovidiomiranda.framework.core.utils.StringUtilsTest","deleteLastCharacterFromString","deleteLastCharacterFromString",""
"passed","Sat Mar 23 01:43:47 GMT 2024","Sat Mar 23 01:43:50 GMT 2024","2434","","List","","Verify that a list can be created in a Board","","Verify that a list can be created in a Board",""
