"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 24 01:41:40 GMT 2024","Sat Feb 24 01:41:50 GMT 2024","9945","","Login","","Login successful","","Login successful",""
"passed","Sat Feb 24 01:41:34 GMT 2024","Sat Feb 24 01:41:37 GMT 2024","2293","","List","","Verify that a list can be created in a Board","","Verify that a list can be created in a Board",""
"passed","Sat Feb 24 01:41:27 GMT 2024","Sat Feb 24 01:41:32 GMT 2024","5077","","Board","","Verify that a board can be created in a workspace","","Verify that a board can be created in a workspace",""
"passed","Sat Feb 24 01:41:32 GMT 2024","Sat Feb 24 01:41:34 GMT 2024","2208","","Board","","Create a new Board with one character for the name","","Create a new Board with one character for the name",""
"passed","Sat Feb 24 01:41:39 GMT 2024","Sat Feb 24 01:41:40 GMT 2024","740","","Workspace","","Verify that a workspace can be created","","Verify that a workspace can be created",""
"passed","Sat Feb 24 01:41:37 GMT 2024","Sat Feb 24 01:41:39 GMT 2024","2182","","List","","Verify that a list can be archived","","Verify that a list can be archived",""
"passed","Sat Feb 24 01:41:40 GMT 2024","Sat Feb 24 01:41:40 GMT 2024","94","","Workspace","","Verify that a Workspace can't be created with an empty display name","","Verify that a Workspace can't be created with an empty display name",""
"passed","Sat Feb 24 01:41:26 GMT 2024","Sat Feb 24 01:41:26 GMT 2024","9","Gradle suite","Gradle test","com.ovidiomiranda.framework.core.utils.StringUtilsTest","com.ovidiomiranda.framework.core.utils.StringUtilsTest","deleteLastCharacterFromString","deleteLastCharacterFromString",""
