"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4946","Verify that a board can be created in a workspace","","Sat Jan 11 02:15:54 GMT 2025","passed","Sat Jan 11 02:15:59 GMT 2025","","Board","Verify that a board can be created in a workspace",""
"","953","Verify that a workspace can be created","","Sat Jan 11 02:16:12 GMT 2025","passed","Sat Jan 11 02:16:13 GMT 2025","","Workspace","Verify that a workspace can be created",""
"","4795","Verify that a list can be created in a Board","","Sat Jan 11 02:16:04 GMT 2025","passed","Sat Jan 11 02:16:09 GMT 2025","","List","Verify that a list can be created in a Board",""
"","3056","Verify that a list can be archived","","Sat Jan 11 02:16:09 GMT 2025","passed","Sat Jan 11 02:16:12 GMT 2025","","List","Verify that a list can be archived",""
"","185","Verify that a Workspace can't be created with an empty display name","","Sat Jan 11 02:16:13 GMT 2025","passed","Sat Jan 11 02:16:13 GMT 2025","","Workspace","Verify that a Workspace can't be created with an empty display name",""
"","10201","Login successful","","Sat Jan 11 02:16:13 GMT 2025","passed","Sat Jan 11 02:16:23 GMT 2025","","Login","Login successful",""
"","9","deleteLastCharacterFromString","Gradle suite","Sat Jan 11 02:15:53 GMT 2025","passed","Sat Jan 11 02:15:53 GMT 2025","com.ovidiomiranda.framework.core.utils.StringUtilsTest","Gradle test","com.ovidiomiranda.framework.core.utils.StringUtilsTest","deleteLastCharacterFromString"
"","4895","Create a new Board with one character for the name","","Sat Jan 11 02:15:59 GMT 2025","passed","Sat Jan 11 02:16:04 GMT 2025","","Board","Create a new Board with one character for the name",""
