"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","508","Verify that a workspace can be created","","Sat Nov 01 02:42:18 UTC 2025","passed","Sat Nov 01 02:42:18 UTC 2025","","Workspace","Verify that a workspace can be created",""
"","1253","Create a new Board with one character for the name","","Sat Nov 01 02:42:13 UTC 2025","passed","Sat Nov 01 02:42:15 UTC 2025","","Board","Create a new Board with one character for the name",""
"","31961","Login successful","","Sat Nov 01 02:43:07 UTC 2025","broken","Sat Nov 01 02:43:39 UTC 2025","","Login","Login successful",""
"","9","deleteLastCharacterFromString","Gradle suite","Sat Nov 01 02:43:06 UTC 2025","passed","Sat Nov 01 02:43:06 UTC 2025","com.ovidiomiranda.framework.core.utils.StringUtilsTest","Gradle test","com.ovidiomiranda.framework.core.utils.StringUtilsTest","deleteLastCharacterFromString"
"","92","Verify that a Workspace can't be created with an empty display name","","Sat Nov 01 02:42:18 UTC 2025","passed","Sat Nov 01 02:42:18 UTC 2025","","Workspace","Verify that a Workspace can't be created with an empty display name",""
"","1517","Verify that a list can be archived","","Sat Nov 01 02:42:16 UTC 2025","passed","Sat Nov 01 02:42:18 UTC 2025","","List","Verify that a list can be archived",""
"","1433","Verify that a list can be created in a Board","","Sat Nov 01 02:42:15 UTC 2025","passed","Sat Nov 01 02:42:16 UTC 2025","","List","Verify that a list can be created in a Board",""
"","4259","Verify that a board can be created in a workspace","","Sat Nov 01 02:42:09 UTC 2025","passed","Sat Nov 01 02:42:13 UTC 2025","","Board","Verify that a board can be created in a workspace",""
